Week,Category,League,Awardee,Opponent,Awardee Score,Opponent Score,Difference
3,Lowest Score,Leaghe 5,Taysom’s Sobbing Tailor,Bad Faith,0,0,0
3,Lowest Score,Leaghe 5,TheDude,Hock Tua 🐬,0,0,0
3,Lowest Score,Leaghe 5,My mom's basement ,Sorry to the kids,0,0,0
3,Lowest Score,Leaghe 5,Bad Faith,Taysom’s Sobbing Tailor,0,0,0
3,Lowest Score,Leaghe 5,Weinerlicious,The Glorious Process,0,0,0
3,Lowest Score,Leaghe 5,Hock Tua 🐬,TheDude,0,0,0
3,Lowest Score,Leaghe 5,I Lick Gibbons,KnutPower,0,0,0
3,Lowest Score,Leaghe 5,KnutPower,I Lick Gibbons,0,0,0
2,Biggest Blowout,League 1,Illegitimate Time Zone,DavisDayCare,218.07,128.07,90
2,Narrowest Win,League 2,The Huge Mistaeks,Meat Mountain,202.99,201.59,1.4000000000000057
2,Fewest Points in Win,Leaghe 5,KnutPower,Sorry to the Kids,132.12,130.4,1.7199999999999989
2,Most Points in Loss,League 4,The Poop Monsters [K.C.],2.5 Seltzers,197.53,257.67,60.140000000000015
2,Highest Score,League 4,2.5 Seltzers,The Poop Monsters [K.C.],257.67,197.53,60.140000000000015
2,Lowest Score,League 1,"Steevy Teevy Tavi, Bitch!",ctjoumas,90.81,178.98,88.16999999999999
1,Biggest Blowout,League 1,Oatmeal Boy,"Steevy Teevy Tavi, Bitch!",218.14,108.3,109.83999999999999
1,Narrowest Win,League 3,fantasyscott,WilhelmTilt,160.47,158.68,1.789999999999992
1,Fewest Points in Win,League 2,Horsey Sauce,Meat Mountain,145.27,132.13,13.140000000000015
1,Most Points in Loss,League 3,Admiral Snackbar,kfisch55,198.89,220.81,21.920000000000016
1,Highest Score,League 3,kfisch55,Admiral Snackbar,220.81,198.89,21.920000000000016
1,Lowest Score,League 3,Not Great Bob,The Woke FAAB,98.57,196.28,97.71000000000001
